platform,rating,text,date,thumbsUp,reviewer
Just Eat,1,since the last update I've been unable to get online and haven't been able to get any response from JustEat.,2025-06-28 16:38:08,3,Paddy McGlynn
Just Eat,5,best online food service around,2025-06-27 02:07:07,0,jonathan giles
Just Eat,5,works well have used for years now. Haven't had any problems that i can remember,2025-06-26 23:44:25,0,Josh Dunne
Just Eat,5,so good,2025-06-23 05:42:52,0,John McManus
Just Eat,4,A terrific service. A great help. Great selection and great prices 👍,2025-06-22 04:11:32,0,Declan Murphy
Just Eat,5,very good food,2025-06-22 03:30:15,0,Mason G
Just Eat,1,they take no responsibility for when your order is not delivered.,2025-06-20 21:01:35,0,Stella Matthys
Just Eat,1,"Very high service fees to add to the already ridiculously high price of the food. They gave a refund for a missing item in store credit rather than back into my PayPal account and they refused to fix it. Also, the star ratings for takeaways are very misleading.",2025-06-18 17:52:15,18,Kevin R.
Just Eat,5,"a solid constant. great pasta, and I love the gravy and chips",2025-06-18 01:06:55,0,Ciaran kells
Just Eat,5,Quick easy and many options,2025-06-15 02:57:10,4,Jack Keane
Just Eat,5,epic,2025-06-15 01:20:00,0,Stephen Duhig
Just Eat,3,cheaper to go direct to establishment if they have a website,2025-06-13 01:48:50,0,Daniel Dunne
Just Eat,5,Top quality...😋,2025-06-11 02:08:34,0,Michael Scally
Just Eat,5,I remember the world before Justeat,2025-06-10 14:58:42,0,Greta Smith
Just Eat,4,lovely food and milkshakes,2025-06-10 00:34:01,0,Paula Brown (Paula)
Just Eat,1,"The delivery drivers are getting so bad and brazen lately. Loads of orders just 'disappear' and then they lie, saying they tried to contact the customer and left the order at the door. Just Eat really should rethink their hiring criteria.",2025-06-08 19:34:37,3,Christoph Schneider
Just Eat,3,service charge can be expensive,2025-06-04 22:43:47,0,Carol O'S
Just Eat,5,always good service,2025-06-03 16:16:31,0,Darren Shaun
Just Eat,4,"I'm usually happy with the service, only qualm I have is, if there is one item bad or wrong with your order, you only get refunded for that item but it's not a meal without the item, also new service charge on it now which I do not like, takeaways are expensive enough these days as it is.",2025-06-02 17:33:29,1,Victoria Mcrann
Just Eat,1,ridiculous prices of items on this app compared to in shop prices,2025-06-02 01:13:59,0,Tomas Hsrtigan
Just Eat,5,great service,2025-06-01 01:30:14,0,Jade Breen
Just Eat,5,love it,2025-05-31 21:13:41,0,Lyndsey Branagan
Just Eat,1,Bunch of scumbags wont let you contact customer service unless you download and register,2025-05-31 00:13:24,0,Simon Parsons
Just Eat,5,Good and reliable 👏,2025-05-30 20:53:46,0,Cecilia Kasisi
Just Eat,5,simply amazing,2025-05-30 02:27:10,0,Cassiano Ristow
Just Eat,1,food was cold,2025-05-29 03:20:58,0,Helen Harrell
Just Eat,1,Costs substantialy more to order on Just Eat than it does directly.,2025-05-29 00:34:17,0,Ciaran O'Reilly
Just Eat,1,App is consistently out of sync with actual location of eircodes. Reliably unable to get driver to door.,2025-05-28 05:26:37,1,Árón de Siún
Just Eat,5,the best around,2025-05-28 01:52:01,0,Sphe Moyo
Just Eat,1,worse ever services ... instead of getting better this company going downhill... ordered food .. did not receive my food on my app delivered 18.08 when I rang Steven on phone phone .. unprofessional and has no idea on what to do... he could not explained why my verification code was not given,2025-05-26 23:13:39,1,Dee Morrissey
Just Eat,5,really helpful when you hungry and u are not home,2025-05-25 02:15:43,0,Shazil Ahmed
Just Eat,5,All good 😉,2025-05-24 23:11:51,0,Cinthia
Just Eat,5,Nice and convenient app to order food online in Ireland,2025-05-24 21:08:05,1,Nishanth Thomas
Just Eat,5,excellent,2025-05-23 02:52:13,0,Patricia Bland
Just Eat,5,normally good,2025-05-23 01:42:06,0,Jamie Curtin
